,awayTeam.id,awayTeam.name,group,homeTeam.id,homeTeam.name,id,lastUpdated,matchday,referees,score.duration,score.extraTime.awayTeam,score.extraTime.homeTeam,score.fullTime.awayTeam,score.fullTime.homeTeam,score.halfTime.awayTeam,score.halfTime.homeTeam,score.penalties.awayTeam,score.penalties.homeTeam,score.winner,season.currentMatchday,season.endDate,season.id,season.startDate,stage,status,utcDate
105,109,Juventus FC,Group H,95,Valencia CF,250753,2019-01-11T17:30:12Z,1.0,"[{'id': 43875, 'name': 'Felix Brych', 'nationality': None}, {'id': 43876, 'name': 'Mark Borsch', 'nationality': None}, {'id': 43877, 'name': 'Stefan Lupp', 'nationality': None}, {'id': 15746, 'name': 'Bastian Dankert', 'nationality': None}, {'id': 15821, 'name': 'Marco Fritz', 'nationality': None}]",REGULAR,,,2.0,0.0,1.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
106,66,Manchester United FC,Group H,1871,BSC Young Boys,250754,2019-01-11T17:30:12Z,1.0,"[{'id': 8825, 'name': 'Deniz Aytekin', 'nationality': None}, {'id': 8827, 'name': 'Eduard Beitinger', 'nationality': None}, {'id': 43880, 'name': 'Rafael Foltyn', 'nationality': None}, {'id': 57516, 'name': 'Benjamin Cortus', 'nationality': None}, {'id': 57524, 'name': 'Dominik Schaal', 'nationality': None}, {'id': 57539, 'name': 'Tobias Welz', 'nationality': None}]",REGULAR,,,3.0,0.0,2.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
107,65,Manchester City FC,Group F,2,TSG 1899 Hoffenheim,250731,2019-01-16T12:30:11Z,2.0,"[{'id': 9346, 'name': 'Damir Skomina', 'nationality': None}, {'id': 9347, 'name': 'Jure Praprotnik', 'nationality': None}, {'id': 9348, 'name': 'Robert Vukan', 'nationality': None}, {'id': 43936, 'name': 'Rade Obrenović', 'nationality': None}, {'id': 9350, 'name': 'Matej Jug', 'nationality': None}, {'id': 43935, 'name': 'Grega Kordež', 'nationality': None}]",REGULAR,,,2.0,1.0,1.0,1.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T16:55:00Z
108,1871,BSC Young Boys,Group H,109,Juventus FC,250755,2019-01-11T17:30:12Z,2.0,"[{'id': 43938, 'name': 'Sergey Karasev', 'nationality': None}, {'id': 43850, 'name': 'Igor Demeshko', 'nationality': None}, {'id': 57606, 'name': 'Aleksey Lunev', 'nationality': None}, {'id': 57573, 'name': 'Vladimir Moskalev', 'nationality': None}, {'id': 43941, 'name': 'Sergey Ivanov', 'nationality': None}, {'id': 43939, 'name': 'Anton Averianov', 'nationality': None}]",REGULAR,,,0.0,3.0,0.0,2.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T16:55:00Z
109,678,AFC Ajax,Group E,5,FC Bayern München,250719,2019-01-11T17:30:11Z,2.0,"[{'id': 43894, 'name': 'Pavel Královec', 'nationality': None}, {'id': 43896, 'name': 'Ivo Nádvorník', 'nationality': None}, {'id': 62628, 'name': 'Kamil Hájek', 'nationality': None}, {'id': 43898, 'name': 'Karel Hrubes', 'nationality': None}, {'id': 15603, 'name': 'Petr Ardeleánu', 'nationality': None}]",REGULAR,,,1.0,1.0,1.0,1.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
110,1903,Sport Lisboa e Benfica,Group E,1899,PAE AEK,250720,2019-01-11T17:30:11Z,2.0,"[{'id': 40663, 'name': 'Orel Grinfeeld', 'nationality': None}, {'id': 41088, 'name': 'Dvir Shimon', 'nationality': None}, {'id': 64594, 'name': 'Roy Hassan', 'nationality': None}, {'id': 40820, 'name': 'Ziv Adler', 'nationality': None}, {'id': 40573, 'name': 'Erez Papir', 'nationality': None}, {'id': 41353, 'name': 'Idan Yarkoni', 'nationality': None}]",REGULAR,,,3.0,2.0,2.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
111,1887,FK Shakhtar Donetsk,Group F,523,Olympique Lyonnais,250732,2019-01-11T17:30:11Z,2.0,"[{'id': 43838, 'name': 'Andris Treimanis', 'nationality': None}, {'id': 43839, 'name': 'Haralds Gudermanis', 'nationality': None}, {'id': 43840, 'name': 'Aleksejs Spasjoņņikovs', 'nationality': None}, {'id': 82503, 'name': 'Edgars Maļcevs', 'nationality': None}, {'id': 43841, 'name': 'Aleksandrs Golubevs', 'nationality': None}]",REGULAR,,,2.0,2.0,1.0,0.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
112,1881,FC Viktoria Plzeň,Group G,100,AS Roma,250743,2019-01-11T17:30:12Z,2.0,"[{'id': 43892, 'name': 'Paweł Raczkowski', 'nationality': None}, {'id': 79786, 'name': 'Michał Obukowicz', 'nationality': None}, {'id': 43890, 'name': 'Tomasz Listkiewicz', 'nationality': None}, {'id': 72624, 'name': 'Tomasz Kwiatkowski', 'nationality': None}, {'id': 43893, 'name': 'Tomasz Musiał', 'nationality': None}, {'id': 43891, 'name': 'Radosław Siejka', 'nationality': None}]",REGULAR,,,0.0,5.0,0.0,2.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
113,86,Real Madrid CF,Group G,1900,PFC CSKA Moskva,250744,2019-01-11T17:30:12Z,2.0,"[{'id': 36314, 'name': 'Ovidiu Hațegan', 'nationality': None}, {'id': 36316, 'name': 'Octavian Șovre', 'nationality': None}, {'id': 36837, 'name': 'Sebastian Gheorghe', 'nationality': None}, {'id': 36425, 'name': 'Constantin Colțescu', 'nationality': None}, {'id': 15581, 'name': 'Radu Petrescu', 'nationality': None}, {'id': 15582, 'name': 'Adrian Ghinguleac', 'nationality': None}]",REGULAR,,,0.0,1.0,0.0,1.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
114,95,Valencia CF,Group H,66,Manchester United FC,250756,2019-01-11T17:30:12Z,2.0,"[{'id': 9351, 'name': 'Slavko Vinčić', 'nationality': None}, {'id': 9349, 'name': 'Tomaž Klančnik', 'nationality': None}, {'id': 43934, 'name': 'Andraž Kovačič', 'nationality': None}, {'id': 43937, 'name': 'Roberto Ponis', 'nationality': None}, {'id': 81776, 'name': 'Nejc Kajtazović', 'nationality': None}]",REGULAR,,,0.0,0.0,0.0,0.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-02T19:00:00Z
